State_TW,State_EN,Gender,新北巿 New Taipei City,臺北市 Taipei City,桃園巿 Taoyuan City,臺中市 Taichung City,臺南市 Tainan City,高雄市 Kaohsiung City,宜蘭縣 Yilan County,新竹縣 Hsinchu County,苗栗縣 Miaoli County,彰化縣 Changhua County,南投縣 Nantou County,雲林縣 Yunlin County,嘉義縣 Chiayi County,屏東縣 Pingtung County,臺東縣 Taitung County,花蓮縣 Hualien County,澎湖縣 Penghu County,基隆市 Keelung City,新竹市 Hsinchu City,嘉義市 Chiayi City,金門縣 Kinmen County,連江縣 Lienchiang County
白俄羅斯,(BELARUS),Male,7,6,4,9,0,1,0,4,0,0,1,0,0,0,0,9,0,1,2,0,0,0
白俄羅斯,(BELARUS),Female,6,4,1,7,0,1,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0
捷克,(CZECH),Male,11,33,4,11,2,14,2,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0
捷克,(CZECH),Female,5,7,2,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
丹麥,(DENMARK),Male,5,120,6,95,1,9,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0
丹麥,(DENMARK),Female,1,47,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
芬蘭,(FINLAND),Male,5,15,1,4,5,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
芬蘭,(FINLAND),Female,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
法國,(FRANCE),Male,242,676,64,101,58,97,10,18,5,12,8,6,4,10,9,17,5,8,26,4,1,0
法國,(FRANCE),Female,51,267,16,30,18,43,2,7,1,1,1,0,1,3,0,1,0,3,12,0,0,0
德國,(GERMANY),Male,136,450,47,88,52,80,7,21,5,5,8,2,11,2,6,3,0,3,35,5,0,0
德國,(GERMANY),Female,30,169,8,13,25,11,0,3,2,0,0,0,2,2,0,4,0,0,13,0,0,0
希臘,(GREECE),Male,4,9,2,2,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
希臘,(GREECE),Female,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
